Implementation,NumElements,TimeMillis,ThroughputWPerSec,AvgNanos
Coarse,64,2154.05,3.71393e+06,269.257
Fine,64,2098.93,3.81146e+06,262.367
RTMAdaptiveCoarse,64,2223.2,3.59842e+06,277.9
RTMAdaptiveFine,64,1855.17,4.31228e+06,231.896
RTMNaive,64,1819.3,4.39731e+06,227.412
Coarse,128,2165.94,3.69355e+06,270.743
Fine,128,1789.47,4.47059e+06,223.684
RTMAdaptiveCoarse,128,1937.28,4.1295e+06,242.16
RTMAdaptiveFine,128,1920.83,4.16487e+06,240.103
RTMNaive,128,1873.65,4.26975e+06,234.206
Coarse,192,1749.08,4.57383e+06,218.635
Fine,192,2214.18,3.61308e+06,276.772
RTMAdaptiveCoarse,192,1936.19,4.13183e+06,242.023
RTMAdaptiveFine,192,1944.55,4.11407e+06,243.068
RTMNaive,192,1875.8,4.26484e+06,234.475
Coarse,256,2243.8,3.56538e+06,280.475
Fine,256,2133.46,3.74978e+06,266.682
RTMAdaptiveCoarse,256,1960.07,4.08148e+06,245.009
RTMAdaptiveFine,256,1941.69,4.12011e+06,242.712
RTMNaive,256,1902.33,4.20537e+06,237.791
Coarse,320,2018.74,3.96286e+06,252.343
Fine,320,2287.27,3.49762e+06,285.909
RTMAdaptiveCoarse,320,1912.21,4.18363e+06,239.027
RTMAdaptiveFine,320,1923.94,4.15814e+06,240.492
RTMNaive,320,1902.32,4.20539e+06,237.79
Coarse,384,2094.34,3.81982e+06,261.792
Fine,384,2201.33,3.63416e+06,275.166
RTMAdaptiveCoarse,384,1967.74,4.06559e+06,245.967
RTMAdaptiveFine,384,1961.38,4.07876e+06,245.172
RTMNaive,384,1905.76,4.1978e+06,238.22
Coarse,448,2226.2,3.59357e+06,278.275
Fine,448,2278.91,3.51045e+06,284.863
RTMAdaptiveCoarse,448,1979.4,4.04163e+06,247.425
RTMAdaptiveFine,448,1968.52,4.06396e+06,246.065
RTMNaive,448,1923.51,4.15907e+06,240.438
Coarse,512,2128.58,3.75837e+06,266.073
Fine,512,2269.88,3.52442e+06,283.735
RTMAdaptiveCoarse,512,1979.64,4.04115e+06,247.454
RTMAdaptiveFine,512,1970.49,4.0599e+06,246.311
RTMNaive,512,1928.69,4.14789e+06,241.086
Coarse,576,2111.8,3.78823e+06,263.975
Fine,576,2343.7,3.41341e+06,292.962
RTMAdaptiveCoarse,576,1968.69,4.06362e+06,246.086
RTMAdaptiveFine,576,1977.18,4.04616e+06,247.148
RTMNaive,576,1932.24,4.14027e+06,241.53
Coarse,640,2255.51,3.54688e+06,281.938
Fine,640,2300.36,3.47772e+06,287.545
RTMAdaptiveCoarse,640,1979.36,4.0417e+06,247.42
RTMAdaptiveFine,640,1981.9,4.03653e+06,247.738
RTMNaive,640,1929.58,4.14598e+06,241.198
Coarse,704,2304.57,3.47137e+06,288.071
Fine,704,1799.38,4.44596e+06,224.923
RTMAdaptiveCoarse,704,1974.7,4.05125e+06,246.837
RTMAdaptiveFine,704,1980.23,4.03994e+06,247.529
RTMNaive,704,1937.35,4.12935e+06,242.169
Coarse,768,1735.28,4.61021e+06,216.91
Fine,768,2117.97,3.7772e+06,264.747
RTMAdaptiveCoarse,768,1988.3,4.02354e+06,248.537
RTMAdaptiveFine,768,1984.5,4.03124e+06,248.063
RTMNaive,768,1942.3,4.11883e+06,242.787
Coarse,832,2290.63,3.4925e+06,286.328
Fine,832,2286.97,3.49807e+06,285.872
RTMAdaptiveCoarse,832,1997.65,4.0047e+06,249.707
RTMAdaptiveFine,832,1987.52,4.02512e+06,248.44
RTMNaive,832,1935.47,4.13337e+06,241.934
Coarse,896,2266.71,3.52935e+06,283.338
Fine,896,1785.49,4.48058e+06,223.186
RTMAdaptiveCoarse,896,1983.65,4.03297e+06,247.957
RTMAdaptiveFine,896,1995.92,4.00818e+06,249.49
RTMNaive,896,1943.26,4.11679e+06,242.908
Coarse,960,2131.96,3.75242e+06,266.495
Fine,960,2187.04,3.65791e+06,273.381
RTMAdaptiveCoarse,960,1993.72,4.0126e+06,249.215
RTMAdaptiveFine,960,1992.38,4.01529e+06,249.048
RTMNaive,960,1942.12,4.11921e+06,242.765
Coarse,1024,2271.4,3.52205e+06,283.925
Fine,1024,1789.85,4.46965e+06,223.731
RTMAdaptiveCoarse,1024,1984.85,4.03053e+06,248.107
RTMAdaptiveFine,1024,1987.9,4.02434e+06,248.488
RTMNaive,1024,1950.23,4.10208e+06,243.779
Coarse,1088,1775.99,4.50452e+06,221.999
Fine,1088,2260.38,3.53923e+06,282.547
RTMAdaptiveCoarse,1088,1986.81,4.02657e+06,248.351
RTMAdaptiveFine,1088,1991.98,4.0161e+06,248.998
RTMNaive,1088,1950.06,4.10244e+06,243.757
Coarse,1152,1820.05,4.39548e+06,227.507
Fine,1152,2214.37,3.61277e+06,276.796
